Player,Predicted_Salary_2026_Cr
ryan rickelton,12.33
harshit rana,11.13
yashasvi jaiswal,10.89
ravindra jadeja,10.76
surya kumar yadav,10.73
khaleel ahmed,10.65
hardik pandya,10.57
riyan parag,10.56
nicholas pooran,10.34
mitchell starc,9.69
maheesh theekshana,9.62
pat cummins,9.59
marco jansen,9.47
jos buttler,9.29
sai sudharsan,9.28
sunil narine,9.26
vipraj nigam,9.26
shubman gill,9.15
axar patel,9.09
nehal wadhera,8.78
shreyas iyer,8.75
rohit sharma,8.7
shivam dube,8.63
virat kohli,8.59
shahrukh khan,8.43
rashid khan,8.26
andre russell,8.23
rishabh pant,8.11
aiden markram,8.05
mohammed siraj,7.94
tim david,7.66
mohammad shami,7.32
deepak chahar,7.25
jofra archer,7.13
ishan kishan,7.13
mitchell marsh,7.07
harshal patel,7.02
karun nair,6.99
ajinkya rahane,6.96
will jacks,6.83
phil salt,6.77
prabhsimran singh,6.76
tristan stubbs,6.7
dushmantha chameera,6.66
heinrich klaasen,6.65
ayush mhatre,6.58
ms dhoni,6.54
marcus stoinis,6.5
avesh khan,6.48
bhuvneshwar kumar,6.46
dhruv jurel,6.45
sanju samson,6.32
jitesh sharma,6.27
travis head,6.22
priyansh arya,6.21
mitchell santner,6.18
angkrish raghuvanshi,6.09
abhishek sharma,6.06
naman dhir,6.04
k l rahul,6.03
n tilak varma,5.92
trent boult,5.85
devon conway,5.84
rahul tewatia,5.83
rinku singh,5.81
ravi bishnoi,5.8
vaibhav suryavanshi,5.78
krunal pandya,5.72
abishek porel,5.71
shahbaz ahmed,5.57
shashank singh,5.55
abdul samad,5.4
rajat patidar,5.37
josh inglis,5.34
arshdeep singh,5.31
ayush badoni,5.29
noor ahmad,5.27
xavier bartlett,5.2
varun chakaravarthy,5.09
sherfane rutherford,5.03
mayank agarwal,4.99
sam curran,4.98
nitish rana,4.97
dewald brevis,4.89
quinton de kock,4.84
mohd arshad khan,4.79
prasidh krishna,4.79
sai kishore,4.74
shubham dubey,4.73
aniket verma,4.66
david miller,4.63
nitish kumar reddy,4.6
ashutosh sharma,4.54
liam livingstone,4.4
shardul thakur,4.34
kuldeep yadav,4.23
devdutt padikkal,4.23
washington sundar,4.2
anrich nortje,4.19
ruturaj gaikwad,4.19
yash dayal,4.13
azmatullah omarzai,4.08
jasprit bumrah,4.05
prince yadav,4.02
simarjeet singh,4.02
josh hazlewood,3.98
mohit sharma,3.93
digvesh singh,3.92
venkatesh iyer,3.89
rachin ravindra,3.89
anshul kamboj,3.86
glenn maxwell,3.83
ravichandran ashwin,3.8
jake fraser - mcgurk,3.8
donovan ferreira,3.79
tushar deshpande,3.79
sandeep sharma,3.71
wanindu hasaranga,3.62
zeeshan ansari,3.55
faf du plessis,3.48
spencer johnson,3.4
ramandeep singh,3.36
mayank yadav,3.35
yash thakur,3.34
jacob bethell,3.3
romario shepherd,3.27
musheer khan,3.26
akash deep,3.22
shimron hetmyer,3.21
suyash sharma,3.2
mujeeb-ur-rahman,3.09
abhinav manohar,3.05
vyshak vijaykumar,2.83
kagiso rabada,2.81
ishant sharma,2.8
urvil patel,2.75
mukesh choudhary,2.74
harpreet brar,2.71
kulwant khejroliya,2.63
yudhvir singh charak,2.62
richard gleeson,2.58
moeen ali,2.57
shaik rasheed,2.56
rasikh dar,2.55
corbin bosch,2.5
gerald coetzee,2.4
suryansh shedge,2.37
adam zampa,2.36
raj angad bawa,2.33
william o rourke,2.29
vaibhav arora,2.23
akash singh,2.22
kyle jamieson,2.16
deepak hooda,2.15
kumar kartikeya singh,2.12
pravin dubey,2.09
vijay shankar,2.07
akash madhwal,2.04
yuzvendra chahal,2.01
manish pandey,2.01
lockie ferguson,1.98
karn sharma,1.92
mustafizur rahman,1.9
jamie overton,1.87
matheesha pathirana,1.84
lungisani ngidi,1.82
rahmanullah gurbaz,1.79
mukesh kumar,1.77
rovman powell,1.76
anukul roy,1.75
harsh dubey,1.74
sediqullah atal,1.72
kwena maphaka,1.72
jonny bairstow,1.71
sameer rizvi,1.61
rahul tripathi,1.61
manoj bhandage,1.56
ashwani kumar,1.55
madhav tiwari,1.48
vignesh puthur,1.46
kusal mendis,1.32
jaydev unadkat,1.32
nuwan thushara,1.32
nathan ellis,1.32
v satyanarayana penmetsa,1.26
kamindu mendis,1.23
eshan malinga,1.16
robin minz,1.13
matthew breetzke,1.11
atharva taide,0.85
wiaan mulder,0.76
fazalhaq farooqi,0.68
m siddharth,0.68
